#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	Result	Control	Discipline	Comment
# Updated 2023 Jun 05 04:17:39
S28638	2005-012A	APSTAR-VI	2005 Apr 12 	2020 Dec  1	2020 Dec  1?	2020 Dec  5?	-	Apstar	-	-	M	B	COM	CN	ST/SG/SER.E/549	 1440.0 	   35773	   35804	  0.0 	S	-	-	-
S28640	2005-013A	Soyuz TMA-6	2005 Apr 15 	2005 Oct 11	2005 Oct 11	2005 Oct 11 0109	-	7K-STMA	-	-	M	C	SS	RU	ST/SG/SER.E/476	   88.6 	     199	     245	 51.7 	S	TsUP	-	-
S28642	2005-014A	DART	2005 Apr 15 	2005 Apr 16	2005 Apr 16	2005 Apr 16	-	DART	-	-	M	C	TECH	US	ST/SG/SER.E/481	   95.4 	     535	     558	 97.7 	S	VAFB?	-	-
S28644	2005-015A	Spaceway 1	2005 Apr 26 	2019 Dec	2019 Dec	2020 Feb 10	-	Spaceway	-	-	M	B	COM	US	ST/SG/SER.E/481	  599.9 	     268	   34106	  0.0 	S	-	-	-
S28646	2005-016A	USA 182	2005 Apr 30 	2022 Mar  9	*	*	-	ONYX5	-	-	M	D	IMG-R*	US	ST/SG/SER.E/481	   96.5 	     478	     710	 57.0 	S	AFSCN	-	-
S28649	2005-017A	Cartosat 1	2005 May  5 	2019 May  5	2019 May  5	2019 May  5	-	Cartosat	-	-	M	C	IMG	IN	ST/SG/SER.E/474	   97.3 	     612	     637	 97.9 	S	ISRO	-	-
S28650	2005-017B	Hamsat	2005 May  5 	2017 Oct	2018?	2018?	-	VUSAT	-	-	-	A	COM	IN	ST/SG/SER.E/474	   97.3 	     610	     639	 98.0 	S	ISTRAC	-	-
S28654	2005-018A	NOAA 18	2005 May  5 	2023 Feb  6	*	*	-	ATN	-	-	-	C	MET	US	ST/SG/SER.E/481	  102.0 	     863	     883	 98.7 	S	-	P	Space environment
S28659	2005-019A	DirecTV 8	2005 May 22 	2023 Feb  5	*	*	-	DirecTV	-	-	M	B	COM	US	ST/SG/SER.E/481	  944.0 	   15150	   35851	  8.0 	S	-	-	-
S28686	2005-020A	Photon-M	2005 May 31 	2005 Jun 16	2005 Jun 16	2005 Jun 16 0736	-	Foton	-	-	M	C	MGRAV	RU	ST/SG/SER.E/479	-	-	-	-	S	-	MG/BIO	Microgravity/life sci
S28700	2005-021A	Progress M-53	2005 Jun 16 	2005 Sep  7	2005 Sep  7	2005 Sep  7	-	Progress M	-	-	M	C	SS	RU	ST/SG/SER.E/479	   88.7 	     194	     255	 51.7 	S	TsUP	-	-
S28702	2005-022A	Intelsat Americas 8	2005 Jun 23 	2023 Feb  5	*	*	-	IntIA	-	-	M	B	COM	US*	ST/SG/SER.E/688	-	-	-	-	S	-	-	-
S28707	2005-023A	Ekspress-AM3	2005 Jun 24 	2022 Mar  2	2022 Mar  4	2022 Mar 17	-	Ekspress AM	-	-	M	B	COM	RU	ST/SG/SER.E/479	 1438.0 	   35691	   35580	  0.0 	S	Shabolovka	-	-
S28737	2005-024A	SJ-7	2005 Jul  5 	2014 May	2015?	2015?	-	TS-2	-	-	-	C	TECH?	CN	ST/SG/SER.E/500	   96.0 	     477	     488	 97.0 	S	-	-	-
S28773	2005-025A	ASTRO-EII	2005 Jul 10 	2015 Jun  1	2015 Jun  1	2015 Sep  2	-	ASTRO	-	-	-	C	AST	J	ST/SG/SER.E/486	   93.0 	     247	     560	 31.4 	S	-	XRA*	X-ray observatory
S28775	2005-026A	STS-114	2005 Jul 26 	2005 Aug  9	2005 Aug  9	2005 Aug  9 1211	-	STS	-	-	M	C	SS	US	ST/SG/SER.E/481	   88.4 	     157	     232	 51.6 	S	JSC	MG	Microgravity
S28776	2005-027A	Recoverable sat (21)	2005 Aug  2 	2005 Aug 28	2005 Aug 28	2005 Aug 28	-	FSW3	-	-	D	D	IMG	CN	ST/SG/SER.E/500	   91.0 	     169	     507	 63.0 	S	-	-	-
S28786	2005-028A	[Thaicom 4]	2005 Aug 11 	2023 Feb  6	*	*	-	Thaicom	-	-	M	B	COM	[T]	-	-	-	-	-	S	-	-	-
S28788	2005-029A	MRO	2005 Aug 12 	2023 Feb  6	*	*	E	Mars Program	-	-	M	C	PLAN	US	ST/SG/SER.E/482	   88.2 	     183	     187	 38.9 	S	JPL/LMA	PL	Mars orbiter
S28790	2005-030A	Galaxy 14	2005 Aug 13 	2023 Feb  6	*	*	-	Galaxy	-	-	M	B	COM	US	ST/SG/SER.E/482	 1311.5 	     291	   66023	 49.2 	S	-	-	-
S28809	2005-031A	OICETS	2005 Aug 23 	2009 Sep 24	2009 Sep 24	2009 Sep 24	-	JAXA CTS	-	-	-	C	COM	J	ST/SG/SER.E/486	   97.0 	     610	     611	 97.8 	S	-	-	-
S28810	2005-031B	INDEX	2005 Aug 23 	2018 Jan	*	*	-	Reimei	-	-	-	C	SCI	J	ST/SG/SER.E/486	   97.0 	     609	     655	 97.8 	S	Sagamihara	AUR/P	Auroral imager, particles
S28822	2005-032A	Monitor-E	2005 Aug 26 	2010 Jan 31	2008 Aug?	2008 Aug	-	Monitor	-	-	-	B	IMG	RU	ST/SG/SER.E/483	  105.0 	     517	     538	 97.4 	F	-	-	-
S28824	2005-033A	Recoverable sat (22)	2005 Aug 29 	2005 Sep 16	2005 Sep 16	2005 Sep 16	-	FSW4	-	-	D	D	IMG	CN	ST/SG/SER.E/500	   90.0 	     210	     310	 63.0 	S	-	-	-
S28841	2005-034A	Cosmos-2415	2005 Sep  2 	2005 Oct 16	2005 Oct 16	2005 Oct 16 2135?	-	Kometa	-	-	M	D	IMG	RU	ST/SG/SER.E/483	   89.3 	     203	     301	 64.9 	S	-	-	-
S28866	2005-035A	Progress M-54	2005 Sep  8 	2006 Mar  3	2006 Mar  3	2006 Mar  3	-	Progress M	-	-	M	C	SS	RU	ST/SG/SER.E/483	   88.8 	     193	     263	 51.7 	S	TsUP	-	-
S28868	2005-036A	Anik F1R	2005 Sep  8 	2023 Feb  5	*	*	-	Anik F	-	-	M	B	COM	CA	ST/SG/SER.E/540	-	-	-	-	S	-	-	-
S28871	2005-037A	STP-R1 (USA 185)	2005 Sep 23 	2006 Jun 28	2006 Jun 28	2006 Jun 28	-	DARPA Tech	-	-	-	D	TECH/SCI	US	ST/SG/SER.E/484	   90.6 	     301	     317	 96.4 	S	-	ATM	Ions, oxygen
S28874	2005-038A	Navstar 57 (USA 193)	2005 Sep 26 	2023 Feb  5	*	*	-	GPS IIRM	-	-	M	D	NAV	US	ST/SG/SER.E/484	  357.6 	     281	   20338	 39.4 	S	CSOC/Schriever	-	-
S28877	2005-039A	Soyuz TMA-7	2005 Oct  1 	2006 Apr  8	2006 Apr  8	2006 Apr  8 2348	-	7K-STMA	-	-	M	C	SS	RU	ST/SG/SER.E/496	   88.7 	     210	     249	 51.7 	S	TsUP	-	-
S28879	2005-040A	Shenzhou 6	2005 Oct 12 	2005 Oct 16	2005 Oct 16	2005 Oct 16	-	Shenzhou	-	-	M	C	SS	CN	ST/SG/SER.E/500	   90.0 	     350	     350	 42.0 	S	-	-	-
S28883	2005-040E	Orbit module	2005 Oct 12 	2005 Oct 16	2005 Oct 16	2005 Oct 16	-	Shenzhou OM	-	-	-	C	SS	CN	ST/SG/SER.E/500	   90.0 	     350	     350	 42.0 	S	-	-	-
S28884	2005-041A	GALAXY 15	2005 Oct 13 	2023 Mar  8	2022 Aug 10	*	-	Galaxy	-	-	M	B	COM	US	ST/SG/SER.E/484	  638.7 	     579	   35798	  7.0 	S	-	-	-
S28885	2005-041B	Syracuse 3	2005 Oct 13 	2023 Feb  5	*	*	-	Syracuse	-	-	M	D	COM	F	ST/SG/SER.E/492	 1436.0 	   35771	   35803	  0.0 	S	Maisons-Laffitte	-	-
S28888	2005-042A	USA 186	2005 Oct 19 	2023 Jan 24	*	*	-	CRYSTAL 4	-	-	M	D	IMG*	US	ST/SG/SER.E/484	   96.7 	     164	    1046	 96.7 	S	-	-	-
S28890	2005-043A	Beijing-1	2005 Oct 27 	2013	2013	2013	-	DMC	-	-	-	C	IMG	CN	ST/SG/SER.E/500	   98.6 	     682	     705	 98.2 	S	-	-	-
S28891	2005-043B	TopSat	2005 Oct 27 	2009 Aug 17	2009 Aug 17	2011 Jan 14	-	TOPSAT	-	-	-	D	IMG	UK	ST/SG/SER.E/518	   98.6 	     681	     707	 98.2 	S	-	-	-
S28892	2005-043C	UWE-1	2005 Oct 27 	2005 Nov 17	2005 Nov 17	2005 Nov 17	-	UWE	-	-	-	A	COM	D	ST/SG/SER.E/526	   98.0 	     682	     708	 98.0 	S	-	-	-
S28893	2005-043D	[Sinah-1]	2005 Oct 27 	2006?	2008?	2008?	-	Iran	-	-	-	C	IMG	[IR]	-	-	-	-	-	S	-	-	-
S28894	2005-043E	SSETI Express	2005 Oct 27 	2005 Oct 27	2005 Oct 27	2005 Oct 27	-	ESA Tech	-	-	-	C	TECH	I-ESA	ST/SG/SER.E/490	   98.7 	     682	     707	 98.2 	S	-	P	Langmuir probe
S28895	2005-043F	XI-V	2005 Oct 27 	2023 Feb	*	*	-	Tokyo	-	-	-	A	TECH	J	ST/SG/SER.E/486	   98.7 	     682	     709	 98.2 	S	-	-	-
S28896	2000-078B	Floating PotentialP.	2000 Dec  1 	2000 Dec  1	2000 Dec  1	2000 Dec  1	-	ISS Cpt	-	-	-	C	SCI	US	ST/SG/SER.E/484	   91.0 	     323	     325	 51.6 	F	-	F	ISS charging environment
S28897	2005-043H	NCUBE-2	2005 Oct 27 	2005 Oct 27	2005 Oct 27	2005 Oct 27	-	NSC	-	-	-	A	COM	N	ST/SG/SER.E/697	   98.5 	     676	     702	 97.9 	F	-	-	-
S28899	2005-044A	Inmarsat 4 F2	2005 Nov  8 	2023 Feb  6	*	*	-	Inmarsat 4	-	-	M	B	COM	UK	ST/SG/SER.E/518	 1436.0 	   35774	   35798	  2.8 	S	-	-	-
S28901	2005-045A	Venus Express	2005 Nov  9 	2014 Nov 28	2014 Nov 28	2014 Dec?	-	ESA Plan	-	-	M	C	PLAN	I-ESA	ST/SG/SER.E/490	-	-	-	-	S	ESOC	PL	Venus orbiter
S28902	2005-046A	Telkom-2	2005 Nov 16 	2021 Jun  2	2021 Jun  2	2021 Jun  2	-	Telkom	-	-	M	B	COM	ID	ST/SG/SER.E/551	-	-	-	-	S	-	-	-
S28903	2005-046B	SPACEWAY 2	2005 Nov 16 	2023 Feb  6	*	*	-	Spaceway	-	-	M	B	COM	US	ST/SG/SER.E/484	  633.1 	     405	   36198	  6.9 	S	-	-	-
S28906	2005-047A	Progress M-55	2005 Dec 21 	2006 Jun 19	2006 Jun 19	2006 Jun 19	-	Progress M	-	-	M	C	SS	RU	ST/SG/SER.E/488	   88.7 	     193	     256	 51.7 	S	TsUP	-	-
S28908	2005-048A	Cosmos-2416	2005 Dec 21 	2005 Dec 21	2020?	2020?	-	Rodnik	B-10	-	-	D	COM	RU	ST/SG/SER.E/488	  114.9 	    1449	    1469	 82.5 	S	-	-	-
S28909	2005-048B	Gonets-M	2005 Dec 21 	2010 Jan 31	2010?	2010?	-	Gonets-M	B-10	-	-	C	COM	RU	ST/SG/SER.E/488	  114.9 	    1449	    1469	 82.5 	S	-	-	-
S28911	2005-049A	INSAT-4A	2005 Dec 21 	2019 Oct 17	2019 Oct 19	2019 Oct 24	-	Insat	-	-	M	C	COM	IN	ST/SG/SER.E/487	-	-	-	-	S	MCF/Hassan	-	-
S28912	2005-049B	Meteosat 9 (MSG-2)	2005 Dec 21 	2023 Feb  5	*	*	-	Meteosat	-	-	M	C	MET	I-EUM	ST/SG/SER.E/491	 1436.0 	   35786	   35786	  1.8 	S	-	-	-
S28915	2005-050A	Cosmos-2417	2005 Dec 25 	2017 Jan  1	2010?	2017	-	Uragan	-	-	M	D	NAV	RU	ST/SG/SER.E/488	  675.0 	   19122	   19141	 64.5 	S	-	-	-
S28916	2005-050B	Cosmos-2419	2005 Dec 25 	2009 Nov  2	2009 Nov  2	2010 Feb 28	-	Uragan-M	-	-	M	D	NAV	RU	ST/SG/SER.E/488	  675.0 	   19122	   19141	 64.5 	S	-	-	-
S28917	2005-050C	Cosmos-2418	2005 Dec 25 	2006 Jun	2008	2010?	-	Uragan-M	-	-	M	D	NAV	RU	ST/SG/SER.E/488	  675.0 	   19122	   19141	 64.5 	S	-	-	-
S28922	2005-051A	GIOVE A	2005 Dec 28 	2021 Nov 24	2012 Jun 30	2021 Nov 24	-	Giove	-	-	M	C	NAV	I-ESA	ST/SG/SER.E/490	  841.0 	   23228	   23281	 56.1 	S	-	-	-
S28924	2005-052A	AMC-23	2005 Dec 29 	2023 Feb  5	*	*	-	AMC	-	-	M	B	COM	US	ST/SG/SER.E/485	  747.6 	    6195	   35619	 18.5 	S	-	-	-
S28927	1999-003D	Stardust SRC	1999 Feb  7 	2006 Jan 15	2006 Jan 15	2006 Jan 15	-	Disc RV	-	-	M	C	PLAN	US	ST/SG/SER.E/493	   88.2 	     188	     189	 28.5 	S	-	PL	Cometary/ISM dust retrieval
S28928	2006-001A	New Horizons	2006 Jan 19 	2023 Feb  5	*	*	E	New Frontiers	-	-	M	C	PLAN	US	ST/SG/SER.E/493	-	-	-	-	S	APL	PL	Pluto/Kuiper Belt probe
S28931	2006-002A	ALOS "Daichi"	2006 Jan 24 	2011 Apr 22	2011 Apr 22	2011 May 12	-	NASDA RS	-	-	M	C	IMG	J	ST/SG/SER.E/510	   98.0 	     693	     711	 98.2 	S	Tsukuba	-	-
S28933	2005-035C	SuitSat/RadioSkaf	2006 Feb  3 	2006 Feb 21	2006 Feb 21	2006 Feb 21	-	DOS SS	-	-	-	A	COM	RU	ST/SG/SER.E/494	   91.3 	     343	     359	 51.6 	S	-	-	-
S28935	2006-003A	Echostar 10	2006 Feb 15 	2023 Feb  5	*	*	-	Echostar	-	-	M	B	COM	US	ST/SG/SER.E/493	  660.7 	    1736	   35763	  0.1 	S	-	-	-
S28937	2006-004A	MTSAT-2 "Himawari-7"	2006 Feb 18 	2020 May 16	2020 May 16	2020 May 21 0130	-	GMS	-	-	M	C	MET/COM	J	ST/SG/SER.E/510	 1436.0 	   35775	   35797	  0.0 	S	JMASC	-	-
S28939	2006-005A	ASTRO-F "Akari"	2006 Feb 21 	2011 Nov 24	2011 Jun	2011 Nov 24	-	ASTRO	-	-	-	C	AST	J	ST/SG/SER.E/510	   95.0 	     304	     733	 98.2 	S	ISAS	IRA*	Infrared sky survey
S28941	2006-005C	Cute-1.7+APD	2006 Feb 21 	2006 Mar 15?	2006 Mar 15?	2006 Mar 15?	-	TIT	-	-	-	A	COM	J	ST/SG/SER.E/510	   94.6 	     300	     696	 98.2 	S	TITech	-	-
S28943	2006-006A	[Arabsat 4A]	2006 Feb 28 	2006 Mar 24	2006 Mar 24	2006 Mar 24	-	Arabsat	-	-	M	B	COM	[D]	-	-	-	-	-	S	-	-	-
S28945	2006-007A	SpainSat	2006 Mar 11 	2023 Feb  5	*	*	-	Hisdesat	-	-	M	D	COM	E	ST/SG/SER.E/955	 1440.0 	   35786	   35786	  0.0 	S	-	-	-
S28946	2006-007B	HotBird 7A	2006 Mar 11 	2023 Feb  5	*	*	-	Eutelsat HB	-	-	M	B	COM	F	ST/SG/SER.E/499	 1436.0 	   35768	   35804	  0.0 	S	-	-	-
S28980	2006-008A	ST5-A	2006 Mar 22 	2006 Jun 30	2006 Jun 30	2006 Jun 30	-	NewMil	-	-	-	C	SCI	US	ST/SG/SER.E/493	  137.0 	     299	    4555	105.6 	S	GSFC	F	Magnetometer
S28981	2006-008B	ST5-B	2006 Mar 22 	2006 Jun 30	2006 Jun 30	2006 Jun 30	-	NewMil	-	-	-	C	SCI	US	ST/SG/SER.E/493	  136.5 	     298	    4514	105.6 	S	GSFC	F	Magnetometer
S28982	2006-008C	ST5-C	2006 Mar 22 	2006 Jun 30	2006 Jun 30	2006 Jun 30	-	NewMil	-	-	-	C	SCI	US	ST/SG/SER.E/493	  136.9 	     301	    4548	105.7 	S	GSFC	F	Magnetometer
S28996	2006-009A	Soyuz TMA-8	2006 Mar 30 	2006 Sep 29	2006 Sep 29	2006 Sep 29 0113	-	7K-STMA	-	-	M	C	SS	RU	ST/SG/SER.E/494	   88.8 	     202	     259	 51.7 	S	TsUP	-	-
S29045	2006-010A	JCSAT-9	2006 Apr 12 	2023 Feb  5	*	*	-	JCSAT	-	-	M	B	COM	J	ST/SG/SER.E/510	 1436.0 	   35785	   35794	  0.0 	S	-	-	-
S29047	2006-011A	[COSMIC 1]	2006 Apr 15 	2020 May  6	2020 May  6	2020 May  6	-	COSMIC	-	-	M	C	SCI	[TW]	-	-	-	-	-	S	-	ION	Ionosphere constellation
S29048	2006-011B	[COSMIC 2]	2006 Apr 15 	2020 May  6	2020 May  6	2020 May  6	-	COSMIC	-	-	M	C	SCI	[TW]	-	-	-	-	-	S	-	ION	Ionosphere constellation
S29049	2006-011C	[COSMIC 3]	2006 Apr 15 	2010	2010 Aug  1	2010 Aug  1	-	COSMIC	-	-	M	C	SCI	[TW]	-	-	-	-	-	S	-	ION	Ionosphere constellation
S29050	2006-011D	[COSMIC 4]	2006 Apr 15 	2010	2018?	2018?	-	COSMIC	-	-	M	C	SCI	[TW]	-	-	-	-	-	S	-	ION	Ionosphere constellation
S29051	2006-011E	[COSMIC 5]	2006 Apr 15 	2020 May  6	2020 May  6	2020 May  6	-	COSMIC	-	-	M	C	SCI	[TW]	-	-	-	-	-	S	-	ION	Ionosphere constellation
S29052	2006-011F	[COSMIC 6]	2006 Apr 15 	2020 May  6	2020 May  6	2020 May  6	-	COSMIC	-	-	M	C	SCI	[TW]	-	-	-	-	-	S	-	ION	Ionosphere constellation
S29055	2006-012A	ASTRA 1KR	2006 Apr 20 	2023 Feb  5	*	*	-	Astra	-	-	M	B	COM	L	A/AC.105/INF.414	-	-	-	-	S	-	-	-
S29057	2006-013A	Progress M-56	2006 Apr 24 	2006 Sep 19	2006 Sep 19	2006 Sep 19	-	Progress M	-	-	M	C	SS	RU	ST/SG/SER.E/494	   88.5 	     194	     238	 51.6 	S	TsUP	-	-
S29079	2006-014A	[EROS B]	2006 Apr 25 	2022 Dec	*	*	-	Ofeq EROS	-	-	M	C	IMG	[IL]	-	-	-	-	-	S	-	-	-
S29092	2006-015A	YG-1	2006 Apr 28 	2008	2010 Feb  4	2010 Feb  4	-	JB-5	-	-	M	D	IMG-R	CN	ST/SG/SER.E/566	   97.0 	     600	     600	 98.0 	S	-	-	-
S29107	2006-016A	Cloudsat	2006 Apr 28 	2023 Feb	*	*	-	Earth Probe	-	-	M	C	SCI	US	ST/SG/SER.E/493	   93.1 	     171	     681	 98.1 	S	-	ATM	Cloud-aerosol lidar
S29108	2006-016B	Calipso	2006 Apr 28 	2023 Feb	*	*	-	Proteus	-	-	M	C	SCI	F	ST/SG/SER.E/499	   98.8 	     702	     703	 98.2 	S	-	ATM	Cloud profile radar
S29111	2006-017A	Cosmos-2420	2006 May  3 	2006 Jul 19	2006 Jul 19	2006 Jul 19 1709?	-	Kobal't-M	-	-	M	D	IMG	RU	ST/SG/SER.E/494	   89.4 	     179	     363	 67.2 	S	-	-	-
S29155	2006-018A	GOES-13	2006 May 24 	2023 Feb  5	2018 Jan	*	-	GOES N	-	-	M	C	MET	US	ST/SG/SER.E/495	  605.7 	     245	   34425	 26.6 	S	-	SX	Solar X-ray Imager
S29157	2006-019A	Compass-2	2006 May 26 	2006 Dec	2008?	2008?	-	Kompas	-	-	-	C	SCI	RU	ST/SG/SER.E/494	   94.5 	     401	     487	 78.9 	S	-	P/F	Ionosphere
S29159	2006-019C	Shtil'-1 Nose Cone	2006 May 26 	2006 May 26	2006 May 26	2006 May 26	-	Shtil	-	-	-	B	TECH	-	-	-	-	-	-	S	-	-	-
S29162	2006-020A	Satmex 6	2006 May 27 	2023 Feb  5	*	*	-	Satmex	-	-	M	B	COM	MX	ST/SG/SER.E/670	-	   35780	   35790	-	S	Mexico City	-	-
S29163	2006-020B	[Thaicom 5]	2006 May 27 	2020 Feb 27	2019 Dec	2020 Feb 27	-	Thaicom	-	-	M	B	COM	[T]	-	-	-	-	-	S	-	-	-
S29228	2006-021A	Resurs-DK	2006 Jun 15 	2016 Feb	2016 Feb	2016 Feb	-	ResursP	-	-	M	C	IMG/AST	RU	ST/SG/SER.E/497	   89.8 	     202	     367	 70.0 	S	NTSOMZ	P/CR	Imaging, Cosmic ray antiparticles
S29230	2006-022A	KazSat	2006 Jun 17 	2008 Oct	2008 Nov 26	2009 Aug 14	-	Kazsat	-	-	M	C	COM	KZ	ST/SG/SER.E/509	 1436.1 	   35790	   35795	  0.0 	S	Alakol (Akkol)	-	-
S29236	2006-023A	Galaxy 16	2006 Jun 18 	2023 Feb  6	*	*	-	Galaxy	-	-	M	B	COM	US	ST/SG/SER.E/495	  669.0 	    2268	   35651	  0.1 	S	Panamsat/LongBeach	-	-
S29240	2006-024A	USA 187	2006 Jun 21 	2007	2007 Jun 22	2007 Jun 22	-	MITEX	-	-	M	D	TECH*	US	ST/SG/SER.E/495	  109.1 	     185	    2188	 23.6 	S	-	-	-
S29241	2006-024B	USA 188	2006 Jun 21 	2007	2007 Jun?	2007 Jun?	-	MITEX	-	-	M	D	TECH*	US	ST/SG/SER.E/495	  109.1 	     185	    2188	 23.6 	S	-	-	-
S29242	2006-024C	USA 189	2006 Jun 21 	2007	2007 Jun?	2007 Jun?	-	MITEX	-	-	M	D	TECH*	US	ST/SG/SER.E/495	  109.1 	     185	    2188	 23.6 	S	-	-	-
S29245	2006-025A	Progress M-57	2006 Jun 24 	2007 Jan 17	2007 Jan 17	2007 Jan 17	-	Progress M	-	-	M	C	SS	RU	ST/SG/SER.E/497	   88.6 	     193	     240	 51.6 	S	TsUP	-	-
S29247	2006-026A	Cosmos-2421	2006 Jun 25 	2008 Feb 20	2008 Feb 16	2008 Feb 20	-	US-PU	-	-	M	D	SIG/AST	RU	ST/SG/SER.E/497	   92.8 	     408	     429	 65.0 	S	-	GRA	Gamma ray bursts
S29249	2006-027A	USA 184	2006 Jun 28 	2022 Aug 23	*	*	-	HEO SIGINT	-	-	M	D	SIG*	US	ST/SG/SER.E/495	  684.5 	    1111	   37594	 62.4 	S	Schriever?	P/F	Magnetosphere (TWINS-A)
S29251	2006-028A	STS-121	2006 Jul  4 	2006 Jul 17	2006 Jul 17	2006 Jul 17 1314	-	STS	-	-	M	C	SS	US	ST/SG/SER.E/506	   88.4 	     157	     233	 51.6 	S	JSC	MG	Microgravity
S29252	2006-029A	Genesis 1	2006 Jul 12 	2008 May	2009 Jan?	2009 Jan?	-	Bigelow	-	-	-	B	SS	US	ST/SG/SER.E/506	   95.8 	     554	     561	 64.5 	S	LasVegas	-	-
S29260	2006-030A	Cosmos-2422	2006 Jul 21 	2014 Jun	2014 Sep?	2014 Sep?	-	Oko E	-	-	M	D	EW	RU	ST/SG/SER.E/501	  705.0 	     538	   39210	 62.8 	S	Titov	-	-
S29268	2006-031A	KOMPSAT-2	2006 Jul 28 	2022 Aug 18	*	*	-	Kompsat	-	-	M	C	IMG	KR	ST/SG/SER.E/502	   98.0 	     685	     685	 98.1 	S	Daejon	-	-
S29270	2006-032A	Hot Bird 8	2006 Aug  4 	2023 Feb  5	*	*	-	Eutelsat HB	-	-	M	B	COM	F	ST/SG/SER.E/521	 1436.0 	   35719	   35851	  0.0 	S	Eutelsat SCC/Paris	-	-
S29272	2006-033A	JCSAT-10	2006 Aug 11 	2023 Feb  5	*	*	-	JCSAT	-	-	M	B	COM	J	ST/SG/SER.E/510	 1436.0 	   35785	   35788	  0.0 	S	JSAT/Yokohama	-	-
S29273	2006-033B	Syracuse 3B	2006 Aug 11 	2023 Feb  5	*	*	-	Syracuse	-	-	M	D	COM	F	ST/SG/SER.E/543	 1436.0 	   35771	   35802	  0.0 	S	Maisons-Laffitte	-	-
S29349	2006-034A	KOREASAT-5	2006 Aug 22 	2023 Feb  5	*	*	-	Koreasat	-	-	M	D	COM	KR	ST/SG/SER.E/502	 1436.0 	   35786	   35786	  0.0 	S	KT/Yong-In	-	-
S29385	2006-035A	[SJ-8]	2006 Sep  9 	2006 Nov  1	2006 Nov  1	2006 Nov  1	-	FSW SEEDS	-	-	D	C	BIO	[CN]	-	-	-	-	-	S	Xian	BIO*	Recoverable satellite carrying seeds for exposure to microgravity and radiation.
S29391	2006-036A	STS-115	2006 Sep  9 	2006 Sep 21	2006 Sep 21	2006 Sep 21 1021	-	STS	-	-	M	C	SS	US	ST/SG/SER.E/506	   89.6 	     229	     285	 51.6 	S	JSC	MG	US Space Shuttle delivered solar panels to the Space Station.
S29393	2006-037A	2006-37A	2006 Sep 11 	2013 Aug	2013 Sep?	2013 Sep?	-	IGS	-	-	M	D	IMG*	J	ST/SG/SER.E/552	   94.0 	     485	     502	 97.3 	S	-	-	Japanese reconnaissance satellite with optical imaging.
S29398	2006-038A	Zhongxing-22A	2006 Sep 12 	2014 Jun	2017 Dec 12	2017 Dec 12	-	Fenghuo	-	-	M	D	COM	CN	ST/SG/SER.E/566	-	-	-	-	S	Xi'an	-	Chinese communications satellite, probably for military use.
S29400	2006-040A	Soyuz TMA-9	2006 Sep 18 	2007 Apr 21	2007 Apr 21	2007 Apr 21 1231	-	7K-STMA	-	-	M	C	SS	RU	ST/SG/SER.E/503	   88.7 	     199	     247	 51.7 	S	TsUP	-	Spaceship carrying Expedition 14 crew and tourist Ansari; docked with Space Station on Sep 20.
S29402	2006-039A	Cosmos-2423	2006 Sep 14 	2006 Nov 17	2006 Nov 17	2006 Nov 17	-	Don	-	-	M	D	IMG	RU	ST/SG/SER.E/503	   89.5 	     179	     339	 64.9 	S	Gol-2	-	-
S29479	2006-041A	SOLAR-B "Hinode"	2006 Sep 22 	2023 Feb  5	*	*	-	SOLAR	-	-	-	C	AST	J	ST/SG/SER.E/510	  105.0 	     280	     686	 98.3 	S	ISAS	SOL/SX*	Optical/X-ray solar observatory
S29482	2006-041D	SSP	2006 Sep 22 	2006 Sep 22?	2006 Sep 22?	2006 Sep 22?	-	ISAS Sup	-	-	-	C	TECH	[J]	-	-	-	-	-	S	ISAS	-	-
S29484	2006-041F	HIT-SAT	2006 Sep 22 	2006	2008 Jun?	2008 Jun?	-	HOKIT	-	-	-	A	COM	J	ST/SG/SER.E/510	   94.0 	     280	     667	 98.3 	S	Hokkaido	-	-
S29486	2006-042A	Navstar 58 (USA 190)	2006 Sep 25 	2023 Feb  5	*	*	-	GPS IIRM	-	-	M	D	NAV	US	ST/SG/SER.E/506	  357.0 	     174	   20410	 39.9 	S	CSOC/Schriever	-	Global Positioning System navigation satellite.
S29494	2006-043A	DirecTV 9S	2006 Oct 13 	2023 Feb  5	*	*	-	DirecTV	-	-	M	B	COM	US	ST/SG/SER.E/506	  632.2 	     258	   35816	  6.9 	S	-	-	-
S29495	2006-043B	Optus D1	2006 Oct 13 	2023 Feb  5	*	*	-	Optus	-	-	M	B	COM	AU	ST/SG/SER.E/559	 1436.1 	   35780	   35780	  0.0 	S	-	-	-
S29496	2006-043C	LDREX 2	2006 Oct 13 	2006 Oct?	2006 Oct?	2006 Oct?	-	LDREX	-	-	-	C	TECH	J	ST/SG/SER.E/623	  629.6 	     264	   35648	  7.0 	S	NASDA	-	-
S29499	2006-044A	MetOp-A	2006 Oct 19 	2021 Dec  1	2021 Nov	2021 Dec  1	-	METOP	-	-	-	C	MET	I-EUM	ST/SG/SER.E/505	  101.4 	     822	     849	 98.8 	S	EUMETSAT	-	-
